ID,First_Name,Last_Name,Emp_fullname,Age,Gender,City,Department,Salary,Experience_Years,Joining_Date,Performance_Score,Email,Phone
1,Vivaan,Sharma,Vivaan Sharma,34,Male,Hyderabad,Marketing,334626,7,2015-06-22,1.26,vivaan.sharma1@example.com,7763996178
2,Aditya,Reddy,Aditya Reddy,49,Male,Lucknow,Engineering,665562,4,2019-11-07,1,aditya.reddy2@example.com,8923879009
3,Vivaan,Verma,Vivaan Verma,22,Male,Delhi,HR,625915,8,2018-12-22,2.08,vivaan.verma3@example.com,7881187231
4,Ishaan,Nair,Ishaan Nair,57,Male,Hyderabad,Finance,1421586,18,2018-12-09,1.38,ishaan.nair4@example.com,9215016467
5,Ishaan,Patel,Ishaan Patel,41,Male,Hyderabad,HR,1794970,10,2021-05-18,3.9,ishaan.patel5@example.com,9561031704
6,Kabir,Mehta,Kabir Mehta,26,Male,Chennai,Engineering,629849,6,2016-11-25,4.71,kabir.mehta6@example.com,9454634189
7,Vihaan,Nair,Vihaan Nair,29,Male,Delhi,Operations,1936550,8,2018-08-29,4.79,vihaan.nair7@example.com,9144057191
8,Reyansh,Patel,Reyansh Patel,33,Male,Chennai,Marketing,1150258,10,2018-10-06,4.63,reyansh.patel8@example.com,7856248070
9,Aarav,Verma,Aarav Verma,31,Male,Chennai,Engineering,797816,9,2022-05-02,3.02,aarav.verma9@example.com,7268635410
10,Arjun,Reddy,Arjun Reddy,24,Male,Chennai,Marketing,1470203,9,2018-06-15,2.19,arjun.reddy10@example.com,8077409252
11,Aarav,Das,Aarav Das,39,Male,Bangalore,Finance,374700,6,2020-11-28,4.33,aarav.das11@example.com,7414327795
12,Krishna,Mehta,Krishna Mehta,46,Female,Delhi,Sales,1814578,13,2022-03-16,4.12,krishna.mehta12@example.com,7455206622
13,Kabir,Gupta,Kabir Gupta,47,Male,Lucknow,Finance,747000,3,2020-07-18,4.82,kabir.gupta13@example.com,7321861865
14,Kabira,Singh,Kabira Singh,49,Female,Delhi,Engineering,1887488,20,2017-06-11,4.05,kabir.singh14@example.com,7539184019
15,Vivaan,Verma,Vivaan Verma,38,Male,Bangalore,Marketing,2439017,18,2018-08-14,1.36,vivaan.verma15@example.com,7388460394
16,Kabir,Verma,Kabir Verma,54,Male,Lucknow,Operations,1937551,14,2023-02-09,3.32,kabir.verma16@example.com,9554080124
17,Vivaan,Gupta,Vivaan Gupta,31,Male,Lucknow,Engineering,2369448,5,2015-03-28,2.93,vivaan.gupta17@example.com,7573315041
18,Vivaan,Khan,Vivaan Khan,50,Male,Hyderabad,Engineering,904842,4,2016-05-01,2.66,vivaan.khan18@example.com,9117074454
19,Vivaan,Das,Vivaan Das,48,Male,Chennai,Finance,1724406,1,2017-08-07,3.08,vivaan.das19@example.com,9645812535
20,Krishna,Reddy,Krishna Reddy,59,Male,Bangalore,Sales,319509,20,2022-05-28,1.02,krishna.reddy20@example.com,7024439149
21,Ishaani,Sharma,Ishaani Sharma,59,Female,Delhi,Sales,443417,13,2015-03-09,3.57,ishaan.sharma21@example.com,8183487088
22,Sai,Nair,Sai Nair,34,Male,Mumbai,HR,659905,13,2017-01-24,3.94,sai.nair22@example.com,7774431142
23,Arjun,Patel,Arjun Patel,27,Male,Chennai,Marketing,958281,2,2019-12-06,2.46,arjun.patel23@example.com,9233095402
24,Krishna,Gupta,Krishna Gupta,39,Male,Chennai,Marketing,1327691,1,2022-09-20,2.96,krishna.gupta24@example.com,9745759808
25,Sai,Mehta,Sai Mehta,44,Male,Delhi,HR,1622993,8,2017-12-08,4.84,sai.mehta25@example.com,7849892643
26,Vihaan,Nair,Vihaan Nair,27,Female,Delhi,Marketing,2034311,0,2019-09-05,2.81,vihaan.nair26@example.com,7266532354
27,Aditya,Reddy,Aditya Reddy,48,Male,Chennai,Marketing,2075714,16,2019-01-16,4.13,aditya.reddy27@example.com,7976407841
28,Aarav,Gupta,Aarav Gupta,28,Male,Hyderabad,HR,1214407,9,2020-07-05,1.73,aarav.gupta28@example.com,9998609307
